time, reward, action, observation
1, -0.0006150766787412871, 0, [6.150767e-04 0.000000e+00 0.000000e+00 1.000000e+00]
2, -200.14998784543297, 1, [1.4998785e-01 6.1507669e-04 0.0000000e+00 2.0000000e+00]
3, -0.1324171327552554, 0, [1.3241713e-01 1.4998785e-01 6.1507669e-04 3.0000000e+00]
4, -200.33687684189266, 1, [-0.33687684  0.13241713  0.14998785  4.        ]
5, -200.58539897571936, 1, [-0.585399   -0.33687684  0.13241713  5.        ]
6, -201.02732195851476, 1, [-1.0273219  -0.585399   -0.33687684  6.        ]
7, -200.90358632110096, 1, [-0.9035863 -1.0273219 -0.585399   7.       ]
8, -200.06910718496133, 1, [-0.06910718 -0.9035863  -1.0273219   8.        ]
9, -200.17063663286083, 1, [-0.17063664 -0.06910718 -0.9035863   9.        ]
10, -200.469816933177, 1, [-0.46981692 -0.17063664 -0.06910718 10.        ]
11, -200.19759404682665, 1, [-0.19759405 -0.46981692 -0.17063664 11.        ]
12, -0.19862776633363674, 0, [ 0.19862777 -0.19759405 -0.46981692 12.        ]
13, -0.5683123413608231, 0, [ 0.56831235  0.19862777 -0.19759405 13.        ]
14, -200.07129787639334, 1, [ 0.07129788  0.56831235  0.19862777 14.        ]
15, -200.03425800945604, 1, [-0.03425801  0.07129788  0.56831235 15.        ]
16, -200.3019859275502, 1, [ 0.30198592 -0.03425801  0.07129788 16.        ]
17, -200.3646400645794, 1, [-0.36464006  0.30198592 -0.03425801 17.        ]
18, -200.64176569350752, 1, [-0.6417657  -0.36464006  0.30198592 18.        ]
19, -201.53403465307525, 1, [-1.5340346  -0.6417657  -0.36464006 19.        ]
20, -2.892618690621916, 0, [-2.8926187 -1.5340346 -0.6417657 20.       ]
21, -4.900353439555113, 0, [-4.9003534 -2.8926187 -1.5340346 21.       ]
22, -204.55508001459296, 1, [-4.55508   -4.9003534 -2.8926187 22.       ]
23, -204.40474670498597, 1, [-4.4047465 -4.55508   -4.9003534 23.       ]
24, -4.148847877889556, 0, [-4.148848  -4.4047465 -4.55508   24.       ]
25, -3.8657532729003035, 0, [-3.8657532 -4.148848  -4.4047465 25.       ]
26, -203.29540308475296, 1, [-3.295403  -3.8657532 -4.148848  26.       ]
27, -203.93526241649917, 1, [-3.9352624 -3.295403  -3.8657532 27.       ]
28, -203.67734437086202, 1, [-3.6773443 -3.9352624 -3.295403  28.       ]
29, -3.495260407052818, 0, [-3.4952605 -3.6773443 -3.9352624 29.       ]
30, -202.85023081471326, 1, [-2.850231  -3.4952605 -3.6773443 30.       ]
31, -3.0992750235942816, 0, [-3.099275  -2.850231  -3.4952605 31.       ]
32, -202.88211473125713, 1, [-2.8821146 -3.099275  -2.850231  32.       ]
33, -202.87549026651035, 1, [-2.8754902 -2.8821146 -3.099275  33.       ]
34, -3.2746093144257498, 0, [-3.2746093 -2.8754902 -2.8821146 34.       ]
35, -202.28408156009104, 1, [-2.2840815 -3.2746093 -2.8754902 35.       ]
36, -1.8954266942892426, 0, [-1.8954268 -2.2840815 -3.2746093 36.       ]
37, -1.6007636541205552, 0, [-1.6007637 -1.8954268 -2.2840815 37.       ]
38, -0.9228382882940185, 0, [-0.9228383 -1.6007637 -1.8954268 38.       ]
39, -200.95851632000637, 1, [-0.9585163 -0.9228383 -1.6007637 39.       ]
40, -1.0429097201683502, 0, [-1.0429097 -0.9585163 -0.9228383 40.       ]
41, -1.0551923686731854, 0, [-1.0551924 -1.0429097 -0.9585163 41.       ]
42, -200.8564359263187, 1, [-0.85643595 -1.0551924  -1.0429097  42.        ]
43, -1.3099586856439918, 0, [-1.3099587  -0.85643595 -1.0551924  43.        ]
44, -1.6347067779157063, 0, [-1.6347067  -1.3099587  -0.85643595 44.        ]
45, -1.2150935408623091, 0, [-1.2150935 -1.6347067 -1.3099587 45.       ]
46, -1.6529752902838326, 0, [-1.6529753 -1.2150935 -1.6347067 46.       ]
47, -1.5735893458102526, 0, [-1.5735893 -1.6529753 -1.2150935 47.       ]
48, -1.450403577383098, 0, [-1.4504036 -1.5735893 -1.6529753 48.       ]
49, -201.51936447910708, 1, [-1.5193645 -1.4504036 -1.5735893 49.       ]
50, -200.28709163355455, 1, [-0.28709164 -1.5193645  -1.4504036  50.        ]
51, -200.33713653914492, 1, [ 0.33713654 -0.28709164 -1.5193645  51.        ]
52, -0.23687462625190314, 0, [ 0.23687463  0.33713654 -0.28709164 52.        ]
53, -200.22019089437444, 1, [ 0.2201909   0.23687463  0.33713654 53.        ]
54, -0.49518870070757437, 0, [ 0.4951887   0.2201909   0.23687463 54.        ]
55, -200.3655670949323, 1, [ 0.3655671  0.4951887  0.2201909 55.       ]
56, -0.6033249439096623, 0, [ 0.60332495  0.3655671   0.4951887  56.        ]
57, -200.5115755486458, 1, [ 0.5115755   0.60332495  0.3655671  57.        ]
58, -0.7717998128518533, 0, [ 0.7717998   0.5115755   0.60332495 58.        ]
59, -1.699240520044781, 0, [ 1.6992406  0.7717998  0.5115755 59.       ]
60, -2.103361960296297, 0, [ 2.1033618  1.6992406  0.7717998 60.       ]
61, -2.5282284176923144, 0, [ 2.5282285  2.1033618  1.6992406 61.       ]
62, -201.9600367157757, 1, [ 1.9600368  2.5282285  2.1033618 62.       ]
63, -1.5691175598553226, 0, [ 1.5691175  1.9600368  2.5282285 63.       ]
64, -200.66191442140615, 1, [ 0.6619144  1.5691175  1.9600368 64.       ]
65, -0.3534988876045411, 0, [-0.35349888  0.6619144   1.5691175  65.        ]
66, -200.55750318143177, 1, [-0.55750316 -0.35349888  0.6619144  66.        ]
67, -200.05156142336483, 1, [-5.1561423e-02 -5.5750316e-01 -3.5349888e-01  6.7000000e+01]
68, -200.61025008939131, 1, [ 6.1025012e-01 -5.1561423e-02 -5.5750316e-01  6.8000000e+01]
69, -200.04326397911245, 1, [-4.3263979e-02  6.1025012e-01 -5.1561423e-02  6.9000000e+01]
70, -200.5382251764086, 1, [-5.382252e-01 -4.326398e-02  6.102501e-01  7.000000e+01]
71, -200.20785122846388, 1, [-2.0785123e-01 -5.3822517e-01 -4.3263979e-02  7.1000000e+01]
72, -0.9397619621953623, 0, [-0.93976194 -0.20785123 -0.5382252  72.        ]
73, -201.13809069811734, 1, [-1.1380907  -0.93976194 -0.20785123 73.        ]
74, -1.3453971496899404, 0, [-1.3453971  -1.1380907  -0.93976194 74.        ]
75, -0.8827348223046225, 0, [-0.88273484 -1.3453971  -1.1380907  75.        ]
76, -200.32276932806886, 1, [-0.3227693  -0.88273484 -1.3453971  76.        ]
77, -0.03840364279133843, 0, [-3.8403641e-02 -3.2276931e-01 -8.8273484e-01  7.7000000e+01]
78, -0.0048009583806946365, 0, [ 4.8009586e-03 -3.8403641e-02 -3.2276931e-01  7.8000000e+01]
79, -0.08573306094064137, 0, [-8.5733064e-02  4.8009586e-03 -3.8403641e-02  7.9000000e+01]
80, -0.6036044238303699, 0, [ 6.0360444e-01 -8.5733064e-02  4.8009586e-03  8.0000000e+01]
81, -200.40330924229443, 1, [ 0.40330926  0.60360444 -0.08573306 81.        ]
82, -200.15489234029923, 1, [ 0.15489234  0.40330926  0.60360444 82.        ]
83, -200.26665739517475, 1, [ 0.26665738  0.15489234  0.40330926 83.        ]
84, -200.18148939818363, 1, [ 0.1814894   0.26665738  0.15489234 84.        ]
85, -0.014712886607892703, 0, [1.4712887e-02 1.8148939e-01 2.6665738e-01 8.5000000e+01]
86, -200.57135898867702, 1, [-5.7135898e-01  1.4712887e-02  1.8148939e-01  8.6000000e+01]
87, -200.57947378455356, 1, [-5.7947379e-01 -5.7135898e-01  1.4712887e-02  8.7000000e+01]
88, -0.8077562327419933, 0, [-0.80775625 -0.5794738  -0.571359   88.        ]
89, -200.1319765391183, 1, [-0.13197654 -0.80775625 -0.5794738  89.        ]
90, -200.323808709471, 1, [ 0.3238087  -0.13197654 -0.80775625 90.        ]
91, -0.6763651018374622, 0, [ 0.6763651   0.3238087  -0.13197654 91.        ]
92, -200.95874621995577, 1, [ 0.9587462  0.6763651  0.3238087 92.       ]
93, -1.0147163385938525, 0, [ 1.0147164  0.9587462  0.6763651 93.       ]
94, -201.3873801226144, 1, [ 1.3873801  1.0147164  0.9587462 94.       ]
95, -201.22232572810358, 1, [ 1.2223257  1.3873801  1.0147164 95.       ]
96, -201.29203608557546, 1, [ 1.292036   1.2223257  1.3873801 96.       ]
97, -0.7023577488912532, 0, [ 0.70235777  1.292036    1.2223257  97.        ]
98, -200.6689719996384, 1, [ 0.668972    0.70235777  1.292036   98.        ]
99, -0.20183865844716764, 0, [-0.20183866  0.668972    0.70235777 99.        ]
100, -201.32653865085928, 1, [ -1.3265387   -0.20183866   0.668972   100.        ]
101, -201.44648290436345, 1, [ -1.4464829   -1.3265387   -0.20183866 101.        ]
102, -201.68420052402527, 1, [ -1.6842005  -1.4464829  -1.3265387 102.       ]
103, -1.7923482218986009, 0, [ -1.7923483  -1.6842005  -1.4464829 103.       ]
104, -0.7564880669542475, 0, [ -0.7564881  -1.7923483  -1.6842005 104.       ]
105, -200.88557394215653, 1, [ -0.8855739  -0.7564881  -1.7923483 105.       ]
106, -1.300814435540277, 0, [ -1.3008144  -0.8855739  -0.7564881 106.       ]
107, -201.05642063176288, 1, [ -1.0564207  -1.3008144  -0.8855739 107.       ]
108, -200.60178367637027, 1, [ -0.6017837  -1.0564207  -1.3008144 108.       ]
